Medcode,ReadCode,Rubric
93618,7929600,Percutaneous transluminal atherectomy of coronary artery
17464,G32..12,Personal history of myocardial infarction
9555,G33z5,Post infarct angina
9555,G33z500,Post infarct angina
23892,G304.00,Posterior myocardial infarction NOS
23892,G304.,Posterior myocardial infarction NOS
23579,G310.00,Postmyocardial infarction syndrome
23579,G310.,Postmyocardial infarction syndrome
32272,G38..00,Postoperative myocardial infarction
32272,G38..,Postoperative myocardial infarction
68748,G38z.00,Postoperative myocardial infarction; unspecified
68748,G38z.,Postoperative myocardial infarction; unspecified
41835,G384.00,Postoperative subendocardial myocardial infarction
41835,G384.,Postoperative subendocardial myocardial infarction
46112,G380.00,Postoperative transmural myocardial infarction anterior wall
46112,G380.,Postoperative transmural myocardial infarction anterior wall
46276,G381.00,Postoperative transmural myocardial infarction inferior wall
46276,G381.,Postoperative transmural myocardial infarction inferior wall
36011,7923.11,Prosthetic bypass of coronary artery
19402,7923.,Prosthetic replacement of coronary artery
19193,7923z00,Prosthetic replacement of coronary artery NOS
19193,7923z00,Prosthetic replacement of coronary artery NOS
92419,7923000,Prosthetic replacement of one coronary artery
107574,8T04.00,Referral to Angina Plan self-management programme
107574,8T04.,Referral to Angina Plan self-management programme
34328,G311300,Refractory angina
18903,7927000,Repair of arteriovenous fistula of coronary artery
93432,792B200,Repair of arteriovenous malformation of coronary artery
33620,792B.00,Repair of coronary artery NEC
33620,792B.,Repair of coronary artery NEC
44585,792Bz00,Repair of coronary artery NOS
94783,792B100,Repair of rupture of coronary artery
70755,792Cz00,Replacement of coronary artery NOS
33461,7924.,Revision of bypass for coronary artery
57634,7924z00,Revision of bypass for coronary artery NOS
57634,7924z00,Revision of bypass for coronary artery NOS
101569,7924300,Revision of bypass for four or more coronary arteries
52938,7924000,Revision of bypass for one coronary artery
52938,7924000,Revision of bypass for one coronary artery
31540,7924200,Revision of bypass for three coronary arteries
67554,7924100,Revision of bypass for two coronary arteries
24888,7938.,Right coronary artery was stented
59189,G363.00,Ruptur cardiac wall w'out haemopericard/cur comp fol ac MI
59189,G363.,Ruptur cardiac wall w'out haemopericard/cur comp fol ac MI
59940,G364.00,Ruptur chordae tendinae/curr comp fol acute myocard infarct
59940,G364.,Ruptur chordae tendinae/curr comp fol acute myocard infarct
69474,G365.00,Rupture papillary muscle/curr comp fol acute myocard infarct
69474,G365.,Rupture papillary muscle/curr comp fol acute myocard infarct
EMISHGT66,CLEATSA1,Salford And Trafford Chd Register
8312,7920.11,Saphenous vein graft bypass of coronary artery
EMISHGT66,7920z,Saphenous vein graft replacement coronary artery NOS
51515,7920z00,Saphenous vein graft replacement coronary artery NOS
EMISHGT66,7920z00,Saphenous vein graft replacement coronary artery NOS
18249,7920.,Saphenous vein graft replacement of coronary artery
7137,7920y00,Saphenous vein graft replacement of coronary artery
EMISHGT66,7920y,Saphenous vein graft replacement of coronary artery OS
8679,7920000,Saphenous vein graft replacement of one coronary artery
17689,G30..17,Silent myocardial infarction
29421,G344.00,Silent myocardial ischaemia
29421,G344.,Silent myocardial ischaemia
62163,P6y4100,Single coronary artery
60753,7926300,Single implantation thoracic artery into coronary artery NEC
12804,G33..,Stable angina
12804,G33z7,Stable angina
12804,G33z700,Stable angina
39693,G31y200,Subendocardial ischaemia
18842,G35..00,Subsequent myocardial infarction
18842,G35..,Subsequent myocardial infarction
45809,G350.00,Subsequent myocardial infarction of anterior wall
45809,G350.,Subsequent myocardial infarction of anterior wall
38609,G351.00,Subsequent myocardial infarction of inferior wall
38609,G351.,Subsequent myocardial infarction of inferior wall
72562,G353.00,Subsequent myocardial infarction of other sites
72562,G353.,Subsequent myocardial infarction of other sites
46166,G35X.00,Subsequent myocardial infarction of unspecified site
46166,G35X.,Subsequent myocardial infarction of unspecified site
13571,G30..16,Thrombosis - coronary
61592,7927200,Transection of muscle bridge of coronary artery
21844,G31y300,Transient myocardial ischaemia
732,7928z00,Transluminal balloon angioplasty of coronary artery
732,7928.,Transluminal balloon angioplasty of coronary artery
732,7928z,Transluminal balloon angioplasty of coronary artery NOS
41547,7928y00,Transluminal balloon angioplasty of coronary artery OS
732,7928y00,Transluminal balloon angioplasty of coronary artery OS
24888,79273.,Transposition of coronary artery NEC
48206,7927300,Transposition of coronary artery NEC
1655,G340.11,Triple vessel disease of the heart
63467,G306.00,True posterior myocardial infarction
63467,G306.,True posterior myocardial infarction
1431,G311.13,Unstable angina
7347,G3111,Unstable angina
7347,G311100,Unstable angina
37657,G362.00,Ventric septal defect/curr comp fol acut myocardal infarctn
37657,G362.,Ventric septal defect/curr comp fol acut myocardal infarctn
18118,G3114,Worsening angina
18118,G311400,Worsening angina
28138,G34..00,Other chronic ischaemic heart 
28138,G34..,Other chronic ischaemic heart 
