To check,CodeUnits,DESCRIPTION,EXTRA,TABLETS_PER_DAY,DAILY_DOSE,ALT_OTHER_MEDS,REP,REP2,THEN,DAYS,NUM2,DOSE2
,1-2 FOUR TIMES A DAY WHEN REQUIRED,124timesadaywhenrequired,0,8,NA,NA,NA,NA,NA,NA,NA,NA
,1.25 CAPSULE DAILY,125capsuledaily,0,1.25,NA,NA,NA,NA,NA,NA,NA,NA
,12.5MG  (5 TABLETS) TO BE TAKEN ONCE  WEEKLY - increasing weekly by one tabs up to 20mg we,125mg5tabletstobetakenonceweeklyincreasingweeklyby1tabsupto20mgwe,0,0.93,2.32,NA,NA,NA,NA,28,NA,NA
,12.5MG  (5 TABLETS) TO BE TAKEN ONCE  WEEKLY - INCREASING WEEKLY BY ONE TABS UP TO 20MG WE,125mg5tabletstobetakenonceweeklyincreasingweeklyby1tabsupto20mgwe,0,0.93,2.32,NA,NA,NA,NA,28,NA,NA
,12.5mg (five tablets) to be taken weekly,125mg5tabletstobetakenweekly,0,0.71,1.79,NA,NA,NA,NA,NA,NA,NA
,12.5 mg (five tablets) to be taken weekly,125mg5tabletstobetakenweekly,0,0.71,1.79,NA,NA,NA,NA,NA,NA,NA
,12.5 mg (five tablets) to be taken WEEKLY,125mg5tabletstobetakenweekly,0,0.71,1.79,NA,NA,NA,NA,NA,NA,NA
,12.5 mg (five tablets) to be taken WEEKLY for 2 weeks then 15mg(six tabs) weekly ongi  Not,125mg5tabletstobetakenweeklyfor2weeksthen15mg6tabsweeklyonginot,0,0.71,1.79,NA,NA,NA,1,14,0.86,2.14
,12.5 MG (FIVE TABLETS) TO BE TAKEN WEEKLY FOR 2 WEEKS THEN 15MG(SIX TABS) WEEKLY ONGI  Not,125mg5tabletstobetakenweeklyfor2weeksthen15mg6tabsweeklyonginot,0,0.71,1.79,NA,NA,NA,1,14,0.86,2.14
,12.5 MG (5 TABLETS) TO BE TAKEN WEEKLY ON A WEDNESDAY  Instalments:  Via Venalink Dispense,125mg5tabletstobetakenweeklyonawednesdayinstalmentsviavenalinkdispense,0,0.71,1.79,NA,NA,NA,NA,NA,NA,NA
,12.5mg(5 tabs ) weekly,125mg5tabsweekly,0,0.71,1.79,NA,NA,NA,NA,NA,NA,NA
,12.5MG A DAY IN THE EVENING,125mgadayintheevening,0,NA,12.5,NA,NA,NA,NA,NA,NA,NA
,12.5MG A DAY IN THE MORNING,125mgadayinthemorning,0,NA,12.5,NA,NA,NA,NA,NA,NA,NA
,12.5MG AT EVERY DAY  Notes for dispenser: please chop talets in half for patient,125mgateverydaynotesfordispenserpleasechoptaletsinhalfforpatient,0,0.5,12.5,NA,NA,NA,NA,NA,NA,NA
,12.5MG AT EVERY DAY  Notes for dispenser: via venalink (monthly),125mgateverydaynotesfordispenserviavenalinkmonthly,0,NA,12.5,NA,NA,NA,NA,NA,NA,NA
,12.5MG AT EVERY DAY  Notes for dispenser: via venalink (monthly)  Notes for patient: pleas,125mgateverydaynotesfordispenserviavenalinkmonthlynotesforpatientpleas,0,NA,12.5,NA,NA,NA,NA,NA,NA,NA
,12.5MG  DAILY,125mgdaily,0,NA,12.5,NA,NA,NA,NA,NA,NA,NA
,12.5mg daily,125mgdaily,0,NA,12.5,NA,NA,NA,NA,NA,NA,NA
,12.5MG DAILY,125mgdaily,0,NA,12.5,NA,NA,NA,NA,NA,NA,NA
,12.5 MG DAILY,125mgdaily,0,NA,12.5,NA,NA,NA,NA,NA,NA,NA
,12.5MG; MORNING,125mgmorning,0,1,12.5,NA,NA,NA,NA,NA,NA,NA
,1.25ML am and 1ml pm,125mlamand1mlpm,0,0.45,0.45,NA,NA,NA,NA,NA,NA,NA
,12.5ML EVERY DAY,125mleveryday,0,2.5,2.5,NA,NA,NA,NA,NA,NA,NA
,1.25ML TWICE A DAY,125mltwiceaday,0,2.5,2.5,NA,NA,NA,NA,NA,NA,NA
,1/2  A DAY,12aday,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
,1 -2 a day as required,12adayasrequired,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA
,1/2 a day Notes for patient: changed as per Monica's instructions.,12adaynotesforpatientchangedaspermonicasinstructions,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
,1-2 AS NEEDED,12asneeded,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA
,1-2 as required,12asrequired,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA
x,1/2 A TABLET (250MG) IN THE MORNING (ALONG WITH 120MG IN EVENING),12atablet250mginthemorningalongwith120mginevening,0,0.5,370,NA,NA,NA,NA,NA,NA,NA
x,1/2 A TABLET (250MG) TWICE A DAY,12atablet250mgtwiceaday,0,1,500,NA,NA,NA,NA,NA,NA,NA
,1/2 A TABLET DAILY,12atabletdaily,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
,"1/2 A TABLET IN THE MORNING, 1/2 A TABLET IN THE AFTERNOON",12atabletinthemorning12atabletintheafternoon,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1/2  A TABLET ONCE DAILY,12atabletoncedaily,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
,1/2 A TABLET ONCE DAILY IN THE MORNING,12atabletoncedailyinthemorning,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
,1/2 A TABLET TWICE A DAY,12atablettwiceaday,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1-2 a;t days,12atdays,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA
,1-2 CAPS 3-4 TIMES A DAY AS NEEDED,12caps34timesadayasneeded,0,5.25,NA,NA,NA,NA,NA,NA,NA,NA
,1-2 CAPSULE THREE TIMES DAILY,12capsule3timesdaily,0,4.5,NA,NA,NA,NA,NA,NA,NA,NA
,1-2 CAPSULES PER DAY,12capsulesperday,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA
,1-2 CAPSULE TWICE DAILY,12capsuletwicedaily,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,1 - 2 daily,12daily,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA
,1/2 DAILY,12daily,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
,1-2 daily,12daily,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA
,1-2 DAILY,12daily,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA
,ONEtwo  DAILY,12daily,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA
,ONE-TWO  DAILY-AS DIRECTED,12dailyasdirected,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA
,1-2 DAILY AS NEEDED FOR ANKLE SWELLING,12dailyasneededforankleswelling,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA
,1-2 EACH MORNING,12eachmorning,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA
,1 -2 EACH MORNING,12eachmorning,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA
,1/2 EVERY DAY,12everyday,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA
,1-2 EVERY DAY WHEN REQUIRED,12everydaywhenrequired,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA
,1-2 EVERY MORNING,12everymorning,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA
,ONE TWO EVERY MORNING Notes for patient: Frumil 5/40mg has been changed from the brand nam,12everymorningnotesforpatientfrumil540mghasbeenchangedfromthebrandnam,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA
,1/2 HALF TABLET DAILY  (IP  FEB 14),12halftabletdaily,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
,1/2 IN THE MORNING,12inthemorning,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
,1-2 IN THE MORNING,12inthemorning,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA
,1-2 IN THE MORNING AS DIRECTED DAILY,12inthemorningasdirecteddaily,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA
,1-2 mane,12mane,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA
,1-2 mane Notes for patient: Blood test  U+E  1 month after increasing furosemide and then ,12manenotesforpatientbloodtestue1monthafterincreasingfurosemideandthen,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA
,1-2 OCCASIONALLY,12occasionally,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA
,1-2 OCCASIONALLY-upto max of 3 tablets in 24 hrs,12occasionallyuptomaxof3tabletsin24hrs,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA
,1/2 OF ONE  TABLET ONCE DAILY,12of1tabletoncedaily,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA
,ONE 2 PM,12pm,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1/2 TAB DAILY,12tabdaily,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
x,1/2  TABLET (12.5MG) EVERY DAY DAILY,12tablet125mgeverydaydaily,0,0.5,12.5,NA,NA,NA,NA,NA,NA,NA
x,1/2 TABLET ( 250MG)  TWICE DAILY ( 8 AM & 2 PM),12tablet250mgtwicedaily8am2pm,0,1,500,NA,NA,NA,NA,NA,NA,NA
,1-2 TABLET THREE TIMES DAILY,12tablet3timesdaily,0,4.5,NA,NA,NA,NA,NA,NA,NA,NA
,1-2 TABLET THREE TIMES DAILY  Notes for dispenser: NOT IN VENALINK,12tablet3timesdailynotesfordispensernotinvenalink,0,4.5,NA,NA,NA,NA,NA,NA,NA,NA
,1/2 TABLET A DAY,12tabletaday,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
,1/2 TABLET A DAY (12.5MG),12tabletaday125mg,0,0.5,12.5,NA,NA,NA,NA,NA,NA,NA
,1/2 tablet (CARACE),12tabletcarace,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
,1/2 TABLET DAILY,12tabletdaily,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
,1/2  TABLET DAILY,12tabletdaily,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
,1 /2 TABLET DAILY,12tabletdaily,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
,1/2 TABLET DAILY  Instalments:  Via Venalink Dispensed Weekly,12tabletdailyinstalmentsviavenalinkdispensedweekly,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
,1/2 TABLET DAILY  Instalments:  Via Venalink Dispensed Weekly  Notes for dispenser: HZA115,12tabletdailyinstalmentsviavenalinkdispensedweeklynotesfordispenserhza115,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
,1/2 TABLET DAILY  Instalments: Via Venalink Dispensed Weekly  Notes for dispenser: HZA1151,12tabletdailyinstalmentsviavenalinkdispensedweeklynotesfordispenserhza1151,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
,1/2 TABLET DAILY NOTE REDUCED DOSE,12tabletdailynotereduceddose,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
,1/2 TABLET DAILY  Notes for dispenser: Pls dispence as 4x 7 days blister pack,12tabletdailynotesfordispenserplsdispenceas4x7daysblisterpack,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
,1/2 TABLET DIALY,12tabletdialy,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
,1/2 TABLET EVERY DAY,12tableteveryday,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
,1/2  TABLET IN THE MORNING,12tabletinthemorning,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
,1/2 TABLET IN THE MORNING,12tabletinthemorning,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
,1/2 TABLET OD,12tabletod,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
,1/2 TABLET ON ALTERNATE DAYS.,12tabletonalternatedays,0,0.25,NA,NA,NA,NA,NA,NA,NA,NA
,1-2 TABLET ONCE A DAY,12tabletonceaday,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
,1/2 TABLET ONCE A DAY,12tabletonceaday,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
,"1-2 TABLET ONCE A DAY, FOR SWOLLEN ANKLES",12tabletonceadayforswollenankles,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA
,1/2 TABLET ONCE DAILY,12tabletoncedaily,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
,1/2 TABLET ONCE WEEKLY,12tabletonceweekly,0,0.07,NA,NA,NA,NA,NA,NA,NA,NA
,1 /2 tablet once weekly as needed and directed by,12tabletonceweeklyasneededanddirectedby,0,0.07,NA,NA,NA,NA,NA,NA,NA,NA
,1/2 tablet prn not regularly,12tabletprnnotregularly,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA
,1-2 TABLETS 3 TIMES A DAY,12tablets3timesaday,0,4.5,NA,NA,NA,NA,NA,NA,NA,NA
,1-2 TABLET(S) THREE TIMES A DAY FOR FOR PAIN,12tablets3timesadayforforpain,0,4.5,NA,NA,NA,NA,NA,NA,NA,NA
,1-2 TABLETS 3 TIMES DAILY FOR FOR PAIN,12tablets3timesdailyforforpain,0,4.5,NA,NA,NA,NA,NA,NA,NA,NA
,1-2 TABLETS ALTERNTE DAYS,12tabletsalterntedays,0,0.75,NA,NA,NA,NA,NA,NA,NA,NA
,1/2 TABLET(S) AT NIGHT,12tabletsatnight,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
,1 2 TABLET(S) BD AM AND 1 PM,12tabletsbdamand1pm,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,1/2 TABLET(S) EVERY DAY,12tabletseveryday,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
,1/2 TABLET(S) EVERY DAY  Notes for patient: PLEASE BOOK AN APPOINTMENT FOR YOUR ANNUAL REV,12tabletseverydaynotesforpatientpleasebookanappointmentforyourannualrev,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
,1/2 TABLET(S) IN THE MORNING,12tabletsinthemorning,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
,1/2 TABLET(S) NIGHT,12tabletsnight,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
,1-2 TABLET(S) TWICE A DAY,12tabletstwiceaday,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,1-2 TABLETS TWICE A DAY WITH FOOD,12tabletstwiceadaywithfood,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,1-2  TABLETS TWICE DAILY,12tabletstwicedaily,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,"1-2 TABLETS TWICE DAILY WHEN REQUIRED, NOT TO TAKE LONGER THAN 1-2 WEEKS",12tabletstwicedailywhenrequirednottotakelongerthan12weeks,0,3,NA,NA,NA,NA,NA,10,NA,NA
,1-2 TABLET TWICE DAILY,12tablettwicedaily,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,1-2  TABLET TWICE DAILY,12tablettwicedaily,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,1-2 TABLET TWICE DAILY WITH FOOD,12tablettwicedailywithfood,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,"1-2 TABLET UP TO THREE TIMES DAILY AS NEEDED, AFTER FOOD",12tabletupto3timesdailyasneededafterfood,0,4.5,NA,NA,NA,NA,NA,NA,NA,NA
